timestamp,humidity,temperature,lux_value,light_analysis
2023-06-08 08:28:30.295924,52 %,28 %,445 lux,zu dunkel
2023-06-08 08:28:34.746202,52 %,28 %,437 lux,zu dunkel
2023-06-08 08:28:39.146524,60 %,28 %,409 lux,zu dunkel
2023-06-08 08:28:42.329719,66 %,28 %,369 lux,zu dunkel
2023-06-08 08:28:45.532924,76 %,28 %,400 lux,zu dunkel
2023-06-08 08:28:49.993124,85 %,28 %,414 lux,zu dunkel
2023-06-08 08:28:53.167324,86 %,28 %,426 lux,zu dunkel
2023-06-08 08:28:56.376524,86 %,28 %,420 lux,zu dunkel
2023-06-08 08:28:59.541724,90 %,29 %,421 lux,zu dunkel
2023-06-08 08:29:02.723924,92 %,29 %,428 lux,zu dunkel
2023-06-08 08:29:05.864124,93 %,29 %,429 lux,zu dunkel
2023-06-08 08:29:09.019324,93 %,29 %,433 lux,zu dunkel
2023-06-08 08:29:12.233499,91 %,29 %,375 lux,zu dunkel
2023-06-08 08:29:16.754724,69 %,29 %,380 lux,zu dunkel
2023-06-08 08:29:19.941924,66 %,29 %,9745 lux,zu dunkel
2023-06-08 08:29:23.088124,60 %,29 %,2700 lux,zu dunkel
2023-06-08 08:29:26.232324,57 %,29 %,42631 lux,zu hell
2023-06-08 08:29:30.734524,53 %,29 %,46097 lux,zu hell
2023-06-08 08:29:33.896724,52 %,29 %,54263 lux,zu hell
2023-06-08 08:29:37.093924,51 %,29 %,45463 lux,zu dunkel
2023-06-08 08:29:41.578168,50 %,29 %,378 lux,zu dunkel
2023-06-08 08:29:45.985524,50 %,29 %,2576 lux,zu dunkel
2023-06-08 08:29:49.128724,50 %,29 %,4710 lux,zu dunkel
2023-06-08 08:29:53.522924,49 %,29 %,7113 lux,zu dunkel
2023-06-08 08:29:56.683124,49 %,29 %,12789 lux,optimale Helligkeit
2023-06-08 08:29:59.887324,49 %,29 %,26485 lux,zu hell
2023-06-08 08:30:03.060524,49 %,29 %,29435 lux,zu hell
2023-06-08 08:30:07.476748,50 %,29 %,35384 lux,zu hell
2023-06-08 08:30:10.635924,50 %,29 %,43002 lux,optimale Helligkeit
2023-06-08 08:30:13.799124,49 %,29 %,18987 lux,zu dunkel
2023-06-08 08:30:16.986324,49 %,29 %,453 lux,zu dunkel
